year,position,cumulative_value,player_count,avg_value_per_player
2016,DT,3739,37,101.05405405405403
2016,QB,2390,16,149.375
2016,CB,2133,29,73.55172413793103
2016,OT,2070,19,108.94736842105264
2016,WR,1904,38,50.10526315789474
2016,EDGE,1711,22,77.77272727272727
2016,LB,1284,18,71.33333333333333
2016,S,1106,18,61.44444444444444
2016,RB,972,19,51.1578947368421
2016,IOL,919,24,38.29166666666666
2016,TE,265,12,22.08333333333333
2016,K,16,1,16.0
2017,DT,2703,34,79.5
2017,CB,2580,31,83.2258064516129
2017,EDGE,2345,21,111.66666666666669
2017,S,1816,19,95.57894736842104
2017,WR,1751,36,48.638888888888886
2017,RB,1645,21,78.33333333333333
2017,LB,1431,24,59.625
2017,QB,1417,11,128.8181818181818
2017,TE,1029,16,64.3125
2017,OT,1007,21,47.95238095238095
2017,IOL,775,17,45.588235294117645
2017,K,9,1,9.0
2017,P,1,1,1.0
2018,QB,3064,14,218.8571428571429
2018,DT,2582,32,80.6875
2018,CB,1883,34,55.38235294117647
2018,IOL,1680,23,73.04347826086956
2018,LB,1676,24,69.83333333333333
2018,RB,1658,21,78.95238095238095
2018,WR,1584,31,51.096774193548384
2018,S,1342,21,63.90476190476191
2018,OT,1314,21,62.57142857142857
2018,EDGE,1037,19,54.578947368421055
2018,TE,680,14,48.57142857142857
2018,K,9,1,9.0
2018,P,3,1,3.0
2019,EDGE,2846,24,118.58333333333331
2019,DT,2800,28,100.0
2019,QB,2259,12,188.25
2019,WR,1852,37,50.054054054054056
2019,OT,1849,17,108.76470588235294
2019,CB,1662,27,61.55555555555556
2019,IOL,1268,21,60.38095238095238
2019,S,1164,24,48.5
2019,LB,1127,23,49.0
2019,TE,1033,16,64.5625
2019,RB,650,25,26.0
2020,WR,2748,35,78.51428571428572
2020,OT,2676,23,116.34782608695652
2020,CB,2447,32,76.46875
2020,QB,2400,14,171.42857142857142
2020,EDGE,2150,25,86.0
2020,LB,1609,24,67.04166666666667
2020,DT,1509,22,68.5909090909091
2020,S,978,21,46.57142857142857
2020,IOL,857,26,32.96153846153846
2020,RB,785,17,46.1764705882353
2020,TE,352,16,22.0
2021,QB,3351,12,279.25
2021,WR,2691,36,74.75
2021,OT,2457,25,98.28
2021,EDGE,2445,33,74.0909090909091
2021,CB,2304,36,64.0
2021,LB,1196,21,56.95238095238095
2021,IOL,1057,23,45.95652173913044
2021,TE,800,14,57.142857142857146
2021,DT,796,18,44.22222222222222
2021,RB,728,19,38.31578947368421
2021,S,690,22,31.363636363636363
2022,EDGE,3925,25,157.0
2022,WR,2783,34,81.8529411764706
2022,OT,2434,23,105.82608695652172
2022,CB,2382,33,72.18181818181819
2022,QB,1247,11,113.36363636363636
2022,IOL,1231,26,47.34615384615385
2022,S,1221,22,55.5
2022,DT,1194,23,51.91304347826087
2022,LB,1184,25,47.36
2022,RB,517,21,24.61904761904762
2022,TE,389,17,22.88235294117647
2022,P,10,1,10.0
2022,K,1,1,1.0
2023,EDGE,3248,31,104.7741935483871
2023,QB,2707,14,193.3571428571429
2023,CB,2566,33,77.75757575757575
2023,OT,2070,20,103.5
2023,WR,1998,33,60.54545454545455
2023,DT,1533,24,63.875
2023,TE,1060,15,70.66666666666667
2023,RB,988,22,44.90909090909091
2023,IOL,971,23,42.21739130434783
2023,LB,685,21,32.61904761904762
2023,S,684,21,32.57142857142857
2023,K,5,2,2.5
2024,WR,3371,35,96.31428571428572
2024,QB,3215,11,292.27272727272725
2024,OT,2985,25,119.4
2024,CB,2315,34,68.08823529411765
2024,EDGE,2054,27,76.07407407407408
2024,DT,1217,25,48.68
2024,IOL,1119,24,46.625
2024,TE,663,13,51.0
2024,LB,550,19,28.94736842105263
2024,S,533,19,28.05263157894737
2024,RB,482,21,22.952380952380956
2024,P,5,1,5.0
2024,K,4,3,1.3333333333333333
2025,EDGE,3224,31,104.0
2025,CB,2422,30,80.73333333333333
2025,OT,2100,21,100.0
2025,DT,2011,32,62.84375
2025,QB,1834,10,183.4
2025,WR,1772,29,61.10344827586207
2025,RB,1422,26,54.69230769230769
2025,TE,1141,17,67.11764705882354
2025,IOL,1089,24,45.375
2025,S,870,20,43.5
2025,LB,628,17,36.94117647058823
